[18:11:54] done=0 fail=0 | W0:writing(56s,2.7s) W1:writing(58s,3.1s) W2:writing(56s,2.9s) W3:writing(55s,2.8s) W4:writing(54s,2.8s) W5:writing(56s,2.8s) W6:writing(57s,2.8s) W7:writing(55s,2.8s) W8:writing(57s,2.9s) W9:writing(54s,2.6s)
[18:11:57] done=0 fail=0 | W0:writing(59s,2.7s) W1:writing(61s,3.1s) W2:writing(59s,2.9s) W3:writing(58s,2.8s) W4:writing(57s,2.8s) W5:writing(59s,2.8s) W6:writing(60s,2.8s) W7:writing(58s,2.8s) W8:writing(60s,2.9s) W9:writing(57s,2.6s)
[18:12:00] done=0 fail=0 | W0:writing(62s,2.7s) W1:writing(64s,3.1s) W2:writing(62s,2.9s) W3:writing(61s,2.8s) W4:writing(60s,2.8s) W5:writing(62s,2.8s) W6:writing(63s,2.8s) W7:writing(61s,2.8s) W8:writing(63s,2.9s) W9:writing(60s,2.6s)
[18:12:03] done=0 fail=0 | W0:writing(65s,2.7s) W1:writing(67s,3.1s) W2:writing(65s,2.9s) W3:writing(64s,2.8s) W4:writing(63s,2.8s) W5:writing(65s,2.8s) W6:writing(66s,2.8s) W7:writing(64s,2.8s) W8:writing(66s,2.9s) W9:writing(63s,2.6s)
[18:12:06] done=0 fail=0 | W0:writing(68s,2.7s) W1:writing(70s,3.1s) W2:writing(68s,2.9s) W3:writing(67s,2.8s) W4:writing(66s,2.8s) W5:writing(68s,2.8s) W6:writing(69s,2.8s) W7:writing(67s,2.8s) W8:writing(69s,2.9s) W9:writing(66s,2.6s)
[18:12:09] done=0 fail=0 | W0:writing(71s,2.7s) W1:writing(73s,3.1s) W2:writing(71s,2.9s) W3:writing(70s,2.8s) W4:writing(69s,2.8s) W5:writing(71s,2.8s) W6:writing(72s,2.8s) W7:writing(70s,2.8s) W8:writing(72s,2.9s) W9:writing(69s,2.6s)
[18:12:12] done=0 fail=0 | W0:writing(74s,2.7s) W1:writing(76s,3.1s) W2:writing(74s,2.9s) W3:writing(73s,2.8s) W4:writing(72s,2.8s) W5:writing(74s,2.8s) W6:writing(75s,2.8s) W7:writing(73s,2.8s) W8:writing(75s,2.9s) W9:writing(72s,2.6s)
[18:12:15] done=0 fail=0 | W0:writing(77s,2.7s) W1:writing(79s,3.1s) W2:writing(77s,2.9s) W3:writing(76s,2.8s) W4:writing(75s,2.8s) W5:writing(77s,2.8s) W6:writing(78s,2.8s) W7:writing(76s,2.8s) W8:writing(78s,2.9s) W9:writing(75s,2.6s)
[18:12:18] done=0 fail=0 | W0:writing(80s,2.7s) W1:writing(82s,3.1s) W2:writing(80s,2.9s) W3:writing(79s,2.8s) W4:writing(78s,2.8s) W5:writing(80s,2.8s) W6:writing(81s,2.8s) W7:writing(79s,2.8s) W8:writing(81s,2.9s) W9:writing(78s,2.6s)
[18:12:21] done=0 fail=0 | W0:writing(83s,2.7s) W1:writing(85s,3.1s) W2:writing(83s,2.9s) W3:writing(82s,2.8s) W4:writing(81s,2.8s) W5:writing(83s,2.8s) W6:writing(84s,2.8s) W7:writing(82s,2.8s) W8:writing(84s,2.9s) W9:writing(81s,2.6s)
[18:12:24] done=0 fail=0 | W0:writing(86s,2.7s) W1:writing(88s,3.1s) W2:writing(86s,2.9s) W3:writing(85s,2.8s) W4:writing(84s,2.8s) W5:writing(86s,2.8s) W6:writing(87s,2.8s) W7:writing(85s,2.8s) W8:writing(87s,2.9s) W9:writing(84s,2.6s)
[18:12:27] done=0 fail=0 | W0:writing(89s,2.7s) W1:writing(91s,3.1s) W2:writing(89s,2.9s) W3:writing(88s,2.8s) W4:writing(87s,2.8s) W5:writing(89s,2.8s) W6:writing(90s,2.8s) W7:writing(88s,2.8s) W8:writing(90s,2.9s) W9:writing(87s,2.6s)
[18:12:30] done=0 fail=0 | W0:writing(92s,2.7s) W1:writing(94s,3.1s) W2:writing(92s,2.9s) W3:writing(91s,2.8s) W4:writing(90s,2.8s) W5:writing(92s,2.8s) W6:writing(93s,2.8s) W7:writing(91s,2.8s) W8:writing(93s,2.9s) W9:writing(91s,2.6s)
[18:12:33] done=0 fail=0 | W0:writing(95s,2.7s) W1:writing(97s,3.1s) W2:writing(95s,2.9s) W3:writing(94s,2.8s) W4:writing(93s,2.8s) W5:writing(95s,2.8s) W6:writing(96s,2.8s) W7:writing(94s,2.8s) W8:writing(96s,2.9s) W9:writing(94s,2.6s)
[18:12:36] done=0 fail=0 | W0:writing(98s,2.7s) W1:writing(100s,3.1s) W2:writing(98s,2.9s) W3:writing(97s,2.8s) W4:writing(96s,2.8s) W5:writing(98s,2.8s) W6:writing(99s,2.8s) W7:writing(97s,2.8s) W8:writing(99s,2.9s) W9:writing(97s,2.6s)
[18:12:39] done=0 fail=0 | W0:writing(101s,2.7s) W1:writing(103s,3.1s) W2:writing(101s,2.9s) W3:writing(100s,2.8s) W4:writing(99s,2.8s) W5:writing(101s,2.8s) W6:writing(102s,2.8s) W7:writing(100s,2.8s) W8:writing(102s,2.9s) W9:writing(100s,2.6s)
[18:12:42] done=0 fail=0 | W0:writing(104s,2.7s) W1:writing(106s,3.1s) W2:writing(104s,2.9s) W3:writing(103s,2.8s) W4:writing(102s,2.8s) W5:writing(104s,2.8s) W6:writing(105s,2.8s) W7:writing(103s,2.8s) W8:writing(105s,2.9s) W9:writing(103s,2.6s)
[18:12:45] done=0 fail=0 | W0:writing(107s,2.7s) W1:writing(109s,3.1s) W2:writing(107s,2.9s) W3:writing(106s,2.8s) W4:writing(105s,2.8s) W5:writing(107s,2.8s) W6:writing(108s,2.8s) W7:writing(106s,2.8s) W8:writing(108s,2.9s) W9:writing(106s,2.6s)
[18:12:48] done=0 fail=0 | W0:writing(110s,2.7s) W1:writing(112s,3.1s) W2:writing(110s,2.9s) W3:writing(109s,2.8s) W4:writing(108s,2.8s) W5:writing(110s,2.8s) W6:writing(111s,2.8s) W7:writing(109s,2.8s) W8:writing(111s,2.9s) W9:writing(109s,2.6s)
[18:12:51] done=0 fail=0 | W0:writing(113s,2.7s) W1:writing(115s,3.1s) W2:writing(113s,2.9s) W3:writing(112s,2.8s) W4:writing(111s,2.8s) W5:writing(113s,2.8s) W6:writing(114s,2.8s) W7:writing(112s,2.8s) W8:writing(114s,2.9s) W9:writing(112s,2.6s)
[18:12:54] done=0 fail=0 | W0:writing(116s,2.7s) W1:writing(118s,3.1s) W2:writing(116s,2.9s) W3:writing(115s,2.8s) W4:writing(114s,2.8s) W5:writing(116s,2.8s) W6:writing(117s,2.8s) W7:writing(115s,2.8s) W8:writing(117s,2.9s) W9:writing(115s,2.6s)
[18:12:57] done=0 fail=0 | W0:writing(119s,2.7s) W1:writing(121s,3.1s) W2:writing(119s,2.9s) W3:writing(118s,2.8s) W4:writing(117s,2.8s) W5:writing(119s,2.8s) W6:writing(120s,2.8s) W7:writing(118s,2.8s) W8:writing(120s,2.9s) W9:writing(118s,2.6s)
[18:13:00] done=0 fail=0 | W0:writing(122s,2.7s) W1:writing(124s,3.1s) W2:writing(122s,2.9s) W3:writing(121s,2.8s) W4:writing(120s,2.8s) W5:writing(122s,2.8s) W6:writing(123s,2.8s) W7:writing(121s,2.8s) W8:writing(123s,2.9s) W9:writing(121s,2.6s)
[18:13:03] done=0 fail=0 | W0:writing(125s,2.7s) W1:writing(127s,3.1s) W2:writing(125s,2.9s) W3:writing(124s,2.8s) W4:writing(123s,2.8s) W5:writing(125s,2.8s) W6:writing(126s,2.8s) W7:writing(124s,2.8s) W8:writing(126s,2.9s) W9:writing(124s,2.6s)
